street_name,town
TOWN HWY 48,BARNARD
TOWN HWY 48,BARNARD
TOWN HWY 49,BARNARD
BENNETT,BARNARD
BENNETT,BARNARD
MORGAN,BARNARD
GRAY CAMP,BARNARD
EASTMAN,BARNARD
EASTMAN,BARNARD
EASTMAN,BARNARD
LIME POND,BARNARD
LIME POND,BARNARD
LIME POND,BARNARD
LIME POND,BARNARD
SUSAN TAYLOR,NORTH BENNINGTON
PUCKERBRUSH,READING
PUCKERBRUSH,READING
PUCKERBRUSH,READING
PUCKERBRUSH,READING
PUCKERBRUSH,READING
CORNERS,SANDGATE
CORNERS,SANDGATE
CORNERS,SANDGATE
CORNERS,SANDGATE
CORNERS,SANDGATE
CORNERS,SANDGATE
MOUNTAIN,SHAFTSBURY
MOUNTAIN,SHAFTSBURY
SEAFOOD,WESTMINSTER
COASTAL,WESTMINSTER
THWING,WESTMINSTER
THWING,WESTMINSTER
THUNDER,WESTMINSTER
MAYO,WESTMINSTER
MAYO,WESTMINSTER
DICKINSON,WESTMINSTER
BLOSSOM,WESTMINSTER
TURRELL,WESTMINSTER
GREENHOUSE,WESTMINSTER
GREENHOUSE,WESTMINSTER
DRUMMER,WESTMINSTER
ROBLING,WESTMINSTER
JENNINGSBROOK,BENNINGTON
NFH,WOODFORD
NFH,WOODFORD
NFH,WOODFORD
NFH,WOODFORD
NFH,WOODFORD
NFH,WOODFORD
NFH,WOODFORD
PRINCESSES,VERNON
WILLOW,POWNAL
CHICKADEE,POWNAL
CHICKADEE,POWNAL
NUTMEG,POWNAL
NUTMEG,POWNAL
SUNFLOWER,POWNAL
BURRINGTON HILL,WHITINGHAM
BURRINGTON HILL,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
ROUTE 8A,WHITINGHAM
VT ROUTE 112,WHITINGHAM
VT ROUTE 112,WHITINGHAM
VT ROUTE 112,WHITINGHAM
HOWE,TUNBRIDGE
HOWE,TUNBRIDGE
HOWE,TUNBRIDGE
HOWE,TUNBRIDGE
CUSHMAN,TUNBRIDGE
RUSSELL,TUNBRIDGE
RUSSELL,TUNBRIDGE
RUSSELL,TUNBRIDGE
RUSSELL,TUNBRIDGE
TOWN FARM,TUNBRIDGE
BELKNAP BROOK,TUNBRIDGE
BELKNAP BROOK,TUNBRIDGE
BUTTON HILL,TUNBRIDGE
BUTTON HILL,TUNBRIDGE
ADIRONDACK,MIDDLEBURY
HILLCREST,MIDDLEBURY
PORTER FIELD,MIDDLEBURY
SOUTH,MIDDLEBURY
SOUTH,MIDDLEBURY
SOUTH,MIDDLEBURY
SOUTH,MIDDLEBURY
SOUTH,MIDDLEBURY
BENTLEY,POULTNEY
BENTLEY,POULTNEY
BENTLEY,POULTNEY
BENTLEY,POULTNEY
COLLEGE,POULTNEY
COLLEGE,POULTNEY
COWIE,WESTFORD
DUFFY HILL,WESTFORD
KILBURN,WESTFORD
RUBAUD,WESTFORD
OLD NUMBER ELEVEN,WESTFORD
OLD NUMBER ELEVEN,WESTFORD
OLD NUMBER ELEVEN,WESTFORD
OLD NUMBER ELEVEN,WESTFORD
COVEY,WESTFORD
BEAVER POND,WESTFORD
STEWART,WESTFORD
MACHIA HILL,WESTFORD
MACHIA HILL,WESTFORD
COUNTRY CLUB,SOUTH BURLINGTON
COUNTRY CLUB,SOUTH BURLINGTON
COUNTRY CLUB,SOUTH BURLINGTON
COUNTRY CLUB,SOUTH BURLINGTON
COUNTRY CLUB,SOUTH BURLINGTON
MOUNTAIN VIEW,SOUTH BURLINGTON
MOUNTAIN VIEW,SOUTH BURLINGTON
MOUNTAIN VIEW,SOUTH BURLINGTON
COLLINS,RYEGATE
WITHERSPOON,RYEGATE
WITHERSPOON,RYEGATE
WITHERSPOON,RYEGATE
WITHERSPOON,RYEGATE
VINE,BERLIN
VINE,BERLIN
MOUNT,BERLIN
PEACH,BERLIN
SPRUCE,BERLIN
MAPLE,BERLIN
POPLAR,BERLIN
WORCESTER,ELMORE
WORCESTER,ELMORE
BRAINERD,DANVILLE
MAPLE,CONCORD
CEDAR,CONCORD
CEDAR,CONCORD
ELDER HILL,LINCOLN
ORCHARD,LINCOLN
ORCHARD,LINCOLN
MURRAY,LINCOLN
GREEN,LINCOLN
GREEN,LINCOLN
ORVIS,LINCOLN
MILL,LINCOLN
GEARY,LINCOLN
GRIMES,LINCOLN
GRIMES,LINCOLN
GRIMES,LINCOLN
